date,state,candidate,vote_perc,is_nominee,won_state,event_type
2008-02-05,Minnesota,Dennis Kucinich,41,FALSE,FALSE,caucus
2008-02-05,Missouri,Dennis Kucinich,55,FALSE,FALSE,primary
2008-02-05,New Jersey,Dennis Kucinich,38,FALSE,FALSE,primary
2008-02-05,New Mexico,Dennis Kucinich,36,FALSE,FALSE,caucus
2008-02-05,New York,Dennis Kucinich,0,FALSE,FALSE,primary
2008-02-05,North Dakota,Dennis Kucinich,0,FALSE,FALSE,caucus
2008-02-05,Oklahoma,Dennis Kucinich,33,FALSE,FALSE,primary
2008-02-05,Tennessee,Dennis Kucinich,56,FALSE,TRUE,primary
2008-02-05,Utah,Dennis Kucinich,75,FALSE,TRUE,primary
2008-02-09,Louisiana,Dennis Kucinich,0,FALSE,FALSE,primary
2008-02-09,Nebraska,Dennis Kucinich,0,FALSE,FALSE,caucus
2008-02-09,U.S. Virgin Islands territorial convention,Dennis Kucinich,0,FALSE,FALSE,primary
2008-02-09,Washington,Dennis Kucinich,0,FALSE,FALSE,caucus
2008-02-10,Maine municipal,Dennis Kucinich,0,FALSE,FALSE,caucus
NA,Democrats Abroad,Dennis Kucinich,51,FALSE,TRUE,primary
2008-02-12,District of Columbia,Dennis Kucinich,53,FALSE,TRUE,primary
2008-02-12,Maryland,Dennis Kucinich,66,FALSE,TRUE,primary
2008-02-12,Virginia,Dennis Kucinich,80,FALSE,TRUE,primary
2008-02-19,Hawaii,Dennis Kucinich,65,FALSE,TRUE,caucus
2008-02-19,Wisconsin,Dennis Kucinich,74,FALSE,TRUE,primary
2008-03-04,Ohio,Dennis Kucinich,0,FALSE,FALSE,primary
2008-03-04,Rhode Island,Dennis Kucinich,0,FALSE,FALSE,primary
2008-03-04,Texas,Dennis Kucinich,0,FALSE,FALSE,primary
2008-03-04,Texas conventions,Dennis Kucinich,0,FALSE,FALSE,primary
2008-03-04,Vermont,Dennis Kucinich,48,FALSE,TRUE,primary
2008-03-08,Wyoming county,Dennis Kucinich,0,FALSE,FALSE,caucus
2008-03-11,Mississippi,Dennis Kucinich,61,FALSE,TRUE,primary
NA,North Dakota legislative district conventions,Dennis Kucinich,0,FALSE,TRUE,primary
2008-03-15,Iowa county conventions,Dennis Kucinich,0,FALSE,FALSE,primary
NA,Colorado county assemblies/conventions,Dennis Kucinich,0,FALSE,FALSE,primary
2008-03-29,Texas county and senatorial district conventions,Dennis Kucinich,0,FALSE,FALSE,primary
NA,North Dakota state convention,Dennis Kucinich,0,FALSE,FALSE,primary
NA,Nevada county conventions,Dennis Kucinich,0,FALSE,FALSE,primary
2008-04-22,Pennsylvania,Dennis Kucinich,0,FALSE,FALSE,primary
NA,Washington legislative district,Dennis Kucinich,0,FALSE,TRUE,caucus
2008-04-26,Iowa district conventions,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-03,Guam territorial convention,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-06,Indiana,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-06,North Carolina,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-13,West Virginia,Dennis Kucinich,0,FALSE,FALSE,primary
NA,Colorado congressional district conventions,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-17,Colorado state convention,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-17,Kansas state convention,Dennis Kucinich,0,FALSE,TRUE,primary
2008-05-17,Nevada state convention,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-17,Washington congressional district,Dennis Kucinich,0,FALSE,FALSE,caucus
2008-05-20,Kentucky,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-20,Oregon,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-24,Alaska state convention,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-24,Wyoming state convention,Dennis Kucinich,0,FALSE,FALSE,primary
2008-05-31,"Maine state convention,",Dennis Kucinich,0,FALSE,FALSE,caucus
2008-06-01,Puerto Rico,Dennis Kucinich,0,FALSE,FALSE,primary
